customer_id,first_name,last_name,street,city,state,zip,phone,email,customer_since,segment,lifetime_value
100001,Kyle,Ward,1496 Jones Ln,Henderson,NV,89011,702-555-2288,kyle.ward32@gmail.com,2019-10-21,Consumer,2655
100002,Jacob,Wood,2340 Torrey Way,Paradise,NV,89109,725-555-5497,jacob.wood84@icloud.com,2019-06-30,Consumer,58724
100003,Linda,Patel,3361 Silverado Pkwy,Henderson,NV,89052,702-555-4297,linda.patel56@outlook.com,2023-11-19,Consumer,8395
100004,Nancy,Walker,9010 Rainbow St,Las Vegas,NV,89119,725-555-6093,nancy.walker21@outlook.com,2021-12-10,Consumer,7676
100005,Edward,Jones,9452 Pecos Rd,Summerlin,NV,89135,702-555-7129,edward.jones9@yahoo.com,2017-10-28,Enterprise,18038
100006,Jerry,Walker,2926 Decatur Pkwy,Summerlin,NV,89135,702-555-9012,jerry.walker15@yahoo.com,2023-02-28,Consumer,15345
100007,Robert,Webb,4633 Rampart Ave,Paradise,NV,89109,702-555-2076,robert.webb19@gmail.com,2017-02-28,Enterprise,32709
100008,Helen,Tucker,5067 Rainbow Ct,Las Vegas,NV,89117,725-555-1246,helen.tucker73@icloud.com,2024-03-20,Consumer,12812
100009,Jordan,Harris,4626 Owens Pkwy,Las Vegas,NV,89119,702-555-5693,jordan.harris3@gmail.com,2017-08-08,Consumer,53974
100010,Ashley,Phillips,9614 Hualapai Pkwy,Las Vegas,NV,89119,725-555-5784,ashley.phillips54@outlook.com,2020-09-26,Consumer,26256
100011,Joseph,Martin,9658 Eastern Dr,Summerlin,NV,89135,702-555-4729,joseph.martin26@icloud.com,2023-04-29,Enterprise,33435
100012,Jeffrey,Medina,9043 Charleston Way,North Las Vegas,NV,89031,725-555-4712,jeffrey.medina38@gmail.com,2019-10-28,Consumer,29115
100013,Amanda,Richardson,9217 Carey Rd,Paradise,NV,89109,725-555-9357,amanda.richardson11@yahoo.com,2019-06-23,Enterprise,42476
100014,Benjamin,Adams,7815 Windmill Blvd,Henderson,NV,89052,702-555-2051,benjamin.adams94@icloud.com,2023-11-21,Consumer,54165
100015,Christopher,Butler,2167 Stephanie St,Henderson,NV,89011,702-555-7352,christopher.butler12@outlook.com,2020-04-23,Consumer,8721
100016,Eric,Cook,1120 Flamingo Ave,Henderson,NV,89052,725-555-3825,eric.cook51@yahoo.com,2017-03-08,Consumer,48123
100017,Omar,Russell,7997 Flamingo Ct,Henderson,NV,89052,725-555-5121,omar.russell69@gmail.com,2021-03-28,Consumer,32458
100018,Kenneth,Patel,2278 Bonanza Pkwy,Paradise,NV,89109,702-555-5678,kenneth.patel77@icloud.com,2020-07-25,Consumer,52204
100019,Samantha,Ford,1490 Rampart Way,Las Vegas,NV,89117,702-555-8069,samantha.ford7@gmail.com,2021-07-02,Consumer,14591
100020,Larry,Simmons,9108 Russell Ln,Las Vegas,NV,89119,725-555-1661,larry.simmons92@icloud.com,2022-07-28,Consumer,4150
100021,Harold,Moore,5771 Hualapai Dr,Las Vegas,NV,89117,702-555-1367,harold.moore86@yahoo.com,2024-01-23,Consumer,15516
100022,Luis,Butler,2978 Centennial Blvd,Henderson,NV,89052,725-555-6403,luis.butler4@hotmail.com,2016-11-01,Consumer,5905
100023,Pamela,Cooper,3177 Charleston Blvd,Summerlin,NV,89135,702-555-7296,pamela.cooper52@hotmail.com,2017-08-25,Consumer,31137
100024,Janet,Turner,3343 Windmill Dr,North Las Vegas,NV,89031,725-555-2684,janet.turner96@hotmail.com,2023-04-25,Consumer,46854
100025,Ethan,Alvarez,8574 Canyon Dr,Henderson,NV,89052,725-555-7406,ethan.alvarez76@outlook.com,2021-02-17,Consumer,30657
100026,Wei,Ramos,4628 Rampart Dr,Summerlin,NV,89135,702-555-3404,wei.ramos73@yahoo.com,2019-09-23,Consumer,28567
100027,Aisha,Bailey,6430 Durango Dr,Las Vegas,NV,89119,702-555-8190,aisha.bailey29@icloud.com,2015-05-16,Enterprise,10355
100028,Priya,Martinez,2169 Fort St,Las Vegas,NV,89119,725-555-5533,priya.martinez77@outlook.com,2024-09-20,Enterprise,17400
100029,Amanda,Graham,1151 Sahara Way,Las Vegas,NV,89117,725-555-9788,amanda.graham34@gmail.com,2022-10-15,Enterprise,49927
100030,Anthony,Sanchez,5066 Tropicana Ct,Paradise,NV,89109,725-555-8976,anthony.sanchez69@outlook.com,2020-09-17,Enterprise,2035
100031,Anthony,Kim,479 Carey St,Summerlin,NV,89135,725-555-2700,anthony.kim95@outlook.com,2023-08-21,Enterprise,44003
100032,Emma,Flores,7632 Owens Rd,Las Vegas,NV,89101,725-555-5977,emma.flores23@outlook.com,2018-07-22,SMB,25318
100033,Gregory,Aguilar,8965 Cheyenne Ln,Paradise,NV,89109,725-555-6182,gregory.aguilar40@icloud.com,2024-05-08,SMB,42376
100034,Nicholas,Webb,9886 Hualapai Ln,Las Vegas,NV,89101,725-555-1738,nicholas.webb31@hotmail.com,2021-05-28,Enterprise,48799
100035,Cynthia,Jones,315 Torrey Dr,Henderson,NV,89052,702-555-6656,cynthia.jones77@hotmail.com,2022-04-24,Consumer,59571
100036,Isabella,Jenkins,9403 Alta Pkwy,Las Vegas,NV,89117,702-555-5060,isabella.jenkins52@icloud.com,2019-04-04,Consumer,53080
100037,Diego,Reyes,808 Fort Dr,Paradise,NV,89109,725-555-6999,diego.reyes62@hotmail.com,2019-12-21,Consumer,13981
100038,Hannah,Anderson,4964 Blue Rd,North Las Vegas,NV,89031,725-555-1750,hannah.anderson72@hotmail.com,2024-11-16,Consumer,48514
100039,Edward,Campbell,6145 Maryland Ave,Paradise,NV,89109,702-555-1060,edward.campbell10@gmail.com,2016-05-14,SMB,8395
100040,Steven,Gonzales,8545 Ann Ct,Summerlin,NV,89135,725-555-5197,steven.gonzales70@outlook.com,2024-01-03,SMB,43929
100041,Luis,Moore,2196 Cheyenne Blvd,Las Vegas,NV,89101,725-555-2004,luis.moore59@yahoo.com,2021-11-01,SMB,10956
100042,Christopher,Reynolds,7232 Washington Ave,Las Vegas,NV,89117,725-555-6390,christopher.reynolds93@outlook.com,2021-10-14,Consumer,44708
100043,Amanda,Cruz,4432 Cactus Ln,Henderson,NV,89011,725-555-6382,amanda.cruz75@outlook.com,2020-12-22,SMB,30767
100044,Donald,Bennett,9109 Alta Way,Las Vegas,NV,89117,702-555-9417,donald.bennett7@hotmail.com,2016-10-31,Consumer,25546
100045,Elizabeth,Burns,2955 Horizon Pkwy,North Las Vegas,NV,89031,725-555-2313,elizabeth.burns62@outlook.com,2020-03-20,Consumer,20754
100046,Brenda,Patel,7568 Grand Blvd,Summerlin,NV,89135,702-555-8356,brenda.patel22@yahoo.com,2019-04-02,Consumer,41947
100047,Michelle,Sanders,3515 Lamb Dr,Henderson,NV,89011,702-555-4315,michelle.sanders27@outlook.com,2017-10-18,SMB,27143
100048,Anthony,Medina,4341 Ann Dr,Henderson,NV,89011,725-555-5059,anthony.medina39@yahoo.com,2015-09-03,Enterprise,16900
100049,Omar,Jackson,2094 Buffalo Ave,Las Vegas,NV,89119,702-555-9254,omar.jackson2@outlook.com,2016-02-04,Consumer,45751
100050,Deborah,Long,9291 Canyon Dr,Las Vegas,NV,89101,725-555-9383,deborah.long39@gmail.com,2024-03-28,Consumer,3327
100051,Ryan,Jordan,9872 Jones Ave,North Las Vegas,NV,89031,702-555-7635,ryan.jordan28@icloud.com,2018-10-07,Consumer,41980
100052,Emma,Young,6146 Warm Blvd,Las Vegas,NV,89101,702-555-4374,emma.young58@gmail.com,2024-10-04,Consumer,6533
100053,Deborah,Romero,6110 Owens St,Las Vegas,NV,89117,702-555-6186,deborah.romero47@gmail.com,2021-06-04,Consumer,35827
100054,Michelle,Ramos,9107 Horizon Ln,Henderson,NV,89052,725-555-1835,michelle.ramos12@outlook.com,2019-03-24,Consumer,53220
100055,Shirley,Baker,6526 Apache Pkwy,Henderson,NV,89011,702-555-1811,shirley.baker80@yahoo.com,2021-03-27,Consumer,27073
100056,Adam,Stewart,6119 Diamond Dr,Henderson,NV,89052,725-555-7703,adam.stewart65@outlook.com,2019-10-11,Consumer,3930
100057,Heather,Gibson,2704 Warm Pkwy,Las Vegas,NV,89119,725-555-8696,heather.gibson68@yahoo.com,2024-10-11,SMB,27577
100058,Isabella,Moreno,8388 Gibson Ave,Las Vegas,NV,89117,725-555-5668,isabella.moreno5@yahoo.com,2018-04-13,Consumer,36651
100059,Gregory,Cook,8915 Cactus Pkwy,North Las Vegas,NV,89031,702-555-7481,gregory.cook22@outlook.com,2023-09-08,Consumer,55305
