account_id,customer_name,ship_address,ship_city,ship_state,ship_zip,email,contact_phone,order_count,last_order,item_category,order_amount
500001,David Webb,2135 Maryland Dr,Henderson,NV,89011,david.webb21@hotmail.com,(702) 555-3105,1,2025-03-04,Laptop,1973.61
500002,Hannah Jimenez,7252 Sandhill Blvd,Las Vegas,NV,89101,,(725) 555-4724,1,2025-06-19,Monitor,543.36
500003,Bob Rivera,5349 Torrey Ln,Paradise,NV,89109,robert.rivera34@gmail.com,(702) 555-4713,1,2024-07-27,Printer,684.84
500004,Jerry Rodriguez,9020 Blue Ln,Henderson,NV,89052,jerry.gomez26@hotmail.com,(702) 555-2266,1,2025-01-25,Tablet,535.82
500005,Alex Castillo,7440 Sandhill Ln,Henderson,NV,89052,alexander.castillo82@yahoo.com,(702) 555-7133,1,2024-12-01,Tablet,1016.35
500006,Laura Foster,744 Cactus Ave,Las Vegas,NV,89117,laura.foster16@icloud.com,(725) 555-6613,1,2024-12-19,Laptop,2219.55
500007,Laura Medina,5882 Canyon St,Las Vegas,NV,89119,laura.medina93@yahoo.com,(725) 555-2631,1,2025-12-16,Accessory,23.69
500008,Nathan Ortiz,7768 Eastern St Ste 102,Las Vegas,NV,89101,nathan.ortiz84@icloud.com,(725) 555-6086,4,2025-04-14,Warranty,90.98
500009,Patricia Carter,3666 Canyon Street,Summerlin,NV,89135,patricia.carter74@hotmail.com,(725) 555-9004,1,2025-08-18,Desktop,1208.59
500010,Harold Romero,6737 Silverado Way,Henderson,NV,89052,harold.romero86@icloud.com,(702) 555-7944,1,2024-12-08,Monitor,181.94
500011,Samuel Brooks,5339 Sandhill Ln,Paradise,NV,89109,samuel.brooks60@icloud.com,(725) 555-4497,1,2025-06-18,Printer,749.85
500012,Janet Collins,470 Eastern Way,Henderson,NV,89052,janet.collins61@outlook.com,(702) 555-7681,1,2024-02-12,Warranty,139.02
500013,Debra Butler,1786 Ann Way Apt 35,North Las Vegas,NV,89031,debra.butler35@gmail.com,(702) 555-2286,1,2025-04-08,Printer,507.93
500014,Omar Jackson,2094 Buffalo Ave Apt 3,Las Vegas,NV,89119,omar.jackson2@outlook.com,(702) 555-9254,1,2025-04-22,Software,470.25
500015,Tyler Ross,5693 Warm Ct,Las Vegas,NV,89101,tyler.ross44@gmail.com,(702) 555-1884,1,2024-06-13,Printer,202.14
500016,John Rogers,5316 Pecos Ln,Summerlin,NV,89135,john.rogers24@icloud.com,(702) 555-2583,1,2025-08-31,Monitor,383.67
500017,Mary Wilson,929 Grand Pkwy,Paradise,NV,89109,mary.wilson96@outlook.com,(702) 555-3867,1,2024-05-04,Laptop,2095.94
500018,Melissa Ortiz,9098 Cheyenne Way,Henderson,NV,89011,melissa.ortiz19@gmail.com,(702) 555-7433,1,2025-11-08,Warranty,253.75
500019,Geoffrey Medina,9043 Charleston Way,North Las Vegas,NV,89031,jeffrey.medina38@gmail.com,(725) 555-4712,1,2025-02-08,Laptop,1227.6
500020,Jerry Ellis,2466 Blue Way,Las Vegas,NV,89119,jerry.ellis10@yahoo.com,(702) 555-1804,1,2025-03-20,Accessory,103.69
500021,Nathan Vasquez,3587 Blue Ave,Las Vegas,NV,89101,nathan.vasquez25@outlook.com,(725) 555-8690,1,2025-10-26,Software,205.92
500022,Douglas Coleman,7461 Windmill Ln Apt 31,North Las Vegas,NV,89031,douglas.coleman89@yahoo.com,(725) 555-8158,1,2025-04-09,Warranty,184.75
500023,Mary Smyth,2081 Fort Ave,Las Vegas,NV,89117,mary.smith31@hotmail.com,(725) 555-5071,1,2025-04-06,Warranty,106.08
